id,scheme_name,claim_text,claim_source
1,Jal Jeevan Mission,Jal Jeevan Mission has successfully provided households in cluster of habitations of Punjab with electricity connections and 24x7 supply.,Press Conference Statement (Punjab brief)
2,Ujjwala Yojana,"Ujjwala Yojana reports that roads connecting habitations in district, Tamil Nadu are complete and motorable throughout the year.",PIB Press Release (Tamil Nadu brief)
3,PM Awas Yojana,"All rural households in rural block, West Bengal are reported to have received clean cooking fuel connections under PM Awas Yojana.",Press Conference Statement (West Bengal brief)
4,Ayushman Bharat,Smart city projects under Ayushman Bharat have made the municipal services fully digital and integrated in Kerala.,Press Conference Statement (Kerala brief)
5,PM-KISAN,The health initiative PM-KISAN has set up the required number of primary health centres in Uttar Pradesh and increased service coverage.,Ministry Statement (Uttar Pradesh brief)
6,Atmanirbhar Bharat,Atmanirbhar Bharat has successfully provided households in rural block of Assam with electricity connections and 24x7 supply.,State Government Release (Assam brief)
7,PM Awas Yojana,"PM Awas Yojana reports that roads connecting habitations in cluster of habitations, Maharashtra are complete and motorable throughout the year.",Press Conference Statement (Maharashtra brief)
8,MGNREGA,MGNREGA claims that farmer beneficiaries in Madhya Pradesh have received timely financial assistance under the scheme.,Official Dashboard (Madhya Pradesh brief)
9,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) claims that farmer beneficiaries in Haryana have received timely financial assistance under the scheme.,Ministry Statement (Haryana brief)
10,Swachh Bharat Mission,Swachh Bharat Mission has successfully provided households in district of Rajasthan with electricity connections and 24x7 supply.,Ministry Statement (Rajasthan brief)
11,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),The government has ensured that all households in district of Assam have access to piped water connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).,PIB Press Release (Assam brief)
12,Atmanirbhar Bharat,The health initiative Atmanirbhar Bharat has set up the required number of primary health centres in Uttar Pradesh and increased service coverage.,PIB Press Release (Uttar Pradesh brief)
13,Smart Cities Mission,Smart city projects under Smart Cities Mission have made the municipal services fully digital and integrated in Odisha.,Official Dashboard (Odisha brief)
14,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) claims that farmer beneficiaries in Kerala have received timely financial assistance under the scheme.,Official Dashboard (Kerala brief)
15,Beti Bachao Beti Padhao,Beti Bachao Beti Padhao claims that farmer beneficiaries in Gujarat have received timely financial assistance under the scheme.,State Government Release (Gujarat brief)
16,Beti Bachao Beti Padhao,Beti Bachao Beti Padhao has successfully provided households in municipality of Haryana with electricity connections and 24x7 supply.,Official Dashboard (Haryana brief)
17,PM-KISAN,"Under PM-KISAN, every eligible beneficiary in Maharashtra has been provided the intended subsidy/transfers.",Ministry Statement (Maharashtra brief)
18,Atmanirbhar Bharat,Smart city projects under Atmanirbhar Bharat have made the municipal services fully digital and integrated in Bihar.,PIB Press Release (Bihar brief)
19,Jal Jeevan Mission,Jal Jeevan Mission has eliminated open defecation in most areas of Bihar and constructed toilets in all target households.,Official Dashboard (Bihar brief)
20,PM-KISAN,PM-KISAN claims that farmer beneficiaries in Rajasthan have received timely financial assistance under the scheme.,PIB Press Release (Rajasthan brief)
21,Beti Bachao Beti Padhao,"Beti Bachao Beti Padhao reports that roads connecting habitations in taluka, Karnataka are complete and motorable throughout the year.",Ministry Statement (Karnataka brief)
22,Pradhan Mantri Gram Sadak Yojana,"Pradhan Mantri Gram Sadak Yojana reports that roads connecting habitations in village panchayat, Kerala are complete and motorable throughout the year.",Official Dashboard (Kerala brief)
23,Jal Jeevan Mission,Smart city projects under Jal Jeevan Mission have made the municipal services fully digital and integrated in Assam.,PIB Press Release (Assam brief)
24,Poshan Abhiyaan,Smart city projects under Poshan Abhiyaan have made the municipal services fully digital and integrated in Odisha.,Official Dashboard (Odisha brief)
25,Digital India,Digital India has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Maharashtra.,PIB Press Release (Maharashtra brief)
26,Swachh Bharat Mission,Swachh Bharat Mission has eliminated open defecation in most areas of Chhattisgarh and constructed toilets in all target households.,Press Conference Statement (Chhattisgarh brief)
27,Swachh Bharat Mission,Swachh Bharat Mission has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Tamil Nadu.,Press Conference Statement (Tamil Nadu brief)
28,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),The health initiative Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) has set up the required number of primary health centres in Punjab and increased service coverage.,Official Dashboard (Punjab brief)
29,Smart Cities Mission,"Smart Cities Mission reports that roads connecting habitations in municipality, Punjab are complete and motorable throughout the year.",Ministry Statement (Punjab brief)
30,PM-KISAN,PM-KISAN has successfully provided households in village panchayat of Assam with electricity connections and 24x7 supply.,PIB Press Release (Assam brief)
31,Ujjwala Yojana,Ujjwala Yojana has successfully provided households in municipality of Maharashtra with electricity connections and 24x7 supply.,Official Dashboard (Maharashtra brief)
32,PM Awas Yojana,Smart city projects under PM Awas Yojana have made the municipal services fully digital and integrated in Odisha.,Ministry Statement (Odisha brief)
33,Smart Cities Mission,"All rural households in village panchayat, Madhya Pradesh are reported to have received clean cooking fuel connections under Smart Cities Mission.",PIB Press Release (Madhya Pradesh brief)
34,Atmanirbhar Bharat,Smart city projects under Atmanirbhar Bharat have made the municipal services fully digital and integrated in Bihar.,Official Dashboard (Bihar brief)
35,Poshan Abhiyaan,The health initiative Poshan Abhiyaan has set up the required number of primary health centres in Rajasthan and increased service coverage.,Official Dashboard (Rajasthan brief)
36,Ujjwala Yojana,The government has ensured that all households in taluka of Chhattisgarh have access to piped water connections under Ujjwala Yojana.,PIB Press Release (Chhattisgarh brief)
37,Jal Jeevan Mission,"Under Jal Jeevan Mission, every eligible beneficiary in Gujarat has been provided the intended subsidy/transfers.",Ministry Statement (Gujarat brief)
38,PM-KISAN,PM-KISAN claims that farmer beneficiaries in West Bengal have received timely financial assistance under the scheme.,Press Conference Statement (West Bengal brief)
39,Atmanirbhar Bharat,Smart city projects under Atmanirbhar Bharat have made the municipal services fully digital and integrated in Haryana.,PIB Press Release (Haryana brief)
40,MGNREGA,"Under MGNREGA, every eligible beneficiary in Maharashtra has been provided the intended subsidy/transfers.",PIB Press Release (Maharashtra brief)
41,Digital India,Digital India has eliminated open defecation in most areas of Uttar Pradesh and constructed toilets in all target households.,Official Dashboard (Uttar Pradesh brief)
42,MGNREGA,MGNREGA claims that farmer beneficiaries in Chhattisgarh have received timely financial assistance under the scheme.,Press Conference Statement (Chhattisgarh brief)
43,PM Awas Yojana,"Under PM Awas Yojana, every eligible beneficiary in Kerala has been provided the intended subsidy/transfers.",State Government Release (Kerala brief)
44,Atmanirbhar Bharat,Atmanirbhar Bharat claims that farmer beneficiaries in Gujarat have received timely financial assistance under the scheme.,Official Dashboard (Gujarat brief)
45,Pradhan Mantri Gram Sadak Yojana,The government has ensured that all households in urban slum of Bihar have access to piped water connections under Pradhan Mantri Gram Sadak Yojana.,State Government Release (Bihar brief)
46,Atmanirbhar Bharat,"All rural households in municipality, Odisha are reported to have received clean cooking fuel connections under Atmanirbhar Bharat.",Official Dashboard (Odisha brief)
47,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"All rural households in municipality, Tamil Nadu are reported to have received clean cooking fuel connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).",PIB Press Release (Tamil Nadu brief)
48,MGNREGA,Smart city projects under MGNREGA have made the municipal services fully digital and integrated in Tamil Nadu.,Ministry Statement (Tamil Nadu brief)
49,PM Awas Yojana,The government has ensured that all households in municipality of Assam have access to piped water connections under PM Awas Yojana.,PIB Press Release (Assam brief)
50,Pradhan Mantri Gram Sadak Yojana,Pradhan Mantri Gram Sadak Yojana claims that farmer beneficiaries in Kerala have received timely financial assistance under the scheme.,Press Conference Statement (Kerala brief)
51,Atmanirbhar Bharat,"All rural households in district, Assam are reported to have received clean cooking fuel connections under Atmanirbhar Bharat.",PIB Press Release (Assam brief)
52,Atmanirbhar Bharat,Atmanirbhar Bharat has eliminated open defecation in most areas of Kerala and constructed toilets in all target households.,Ministry Statement (Kerala brief)
53,Atmanirbhar Bharat,The health initiative Atmanirbhar Bharat has set up the required number of primary health centres in Gujarat and increased service coverage.,PIB Press Release (Gujarat brief)
54,Smart Cities Mission,Smart Cities Mission claims that farmer beneficiaries in Tamil Nadu have received timely financial assistance under the scheme.,Ministry Statement (Tamil Nadu brief)
55,Beti Bachao Beti Padhao,"Under Beti Bachao Beti Padhao, every eligible beneficiary in Punjab has been provided the intended subsidy/transfers.",Press Conference Statement (Punjab brief)
56,MGNREGA,"All rural households in rural block, Madhya Pradesh are reported to have received clean cooking fuel connections under MGNREGA.",Ministry Statement (Madhya Pradesh brief)
57,Poshan Abhiyaan,The health initiative Poshan Abhiyaan has set up the required number of primary health centres in Assam and increased service coverage.,State Government Release (Assam brief)
58,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"Under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana), every eligible beneficiary in West Bengal has been provided the intended subsidy/transfers.",PIB Press Release (West Bengal brief)
59,Smart Cities Mission,Smart Cities Mission has successfully provided households in municipality of Assam with electricity connections and 24x7 supply.,Official Dashboard (Assam brief)
60,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),The government has ensured that all households in rural block of Maharashtra have access to piped water connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).,Official Dashboard (Maharashtra brief)
61,National Health Mission,National Health Mission claims that farmer beneficiaries in Bihar have received timely financial assistance under the scheme.,Press Conference Statement (Bihar brief)
62,Pradhan Mantri Gram Sadak Yojana,Pradhan Mantri Gram Sadak Yojana claims that farmer beneficiaries in Tamil Nadu have received timely financial assistance under the scheme.,Official Dashboard (Tamil Nadu brief)
63,Digital India,Digital India claims that farmer beneficiaries in Kerala have received timely financial assistance under the scheme.,Official Dashboard (Kerala brief)
64,Jal Jeevan Mission,Jal Jeevan Mission has successfully provided households in district of West Bengal with electricity connections and 24x7 supply.,State Government Release (West Bengal brief)
65,MGNREGA,The health initiative MGNREGA has set up the required number of primary health centres in West Bengal and increased service coverage.,State Government Release (West Bengal brief)
66,Atmanirbhar Bharat,"Under Atmanirbhar Bharat, every eligible beneficiary in West Bengal has been provided the intended subsidy/transfers.",State Government Release (West Bengal brief)
67,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"All rural households in cluster of habitations, Madhya Pradesh are reported to have received clean cooking fuel connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).",Press Conference Statement (Madhya Pradesh brief)
68,Ujjwala Yojana,"All rural households in rural block, Odisha are reported to have received clean cooking fuel connections under Ujjwala Yojana.",Official Dashboard (Odisha brief)
69,Atmanirbhar Bharat,"Under Atmanirbhar Bharat, every eligible beneficiary in West Bengal has been provided the intended subsidy/transfers.",Official Dashboard (West Bengal brief)
70,PM Awas Yojana,PM Awas Yojana has successfully provided households in district of Haryana with electricity connections and 24x7 supply.,State Government Release (Haryana brief)
71,PM-KISAN,PM-KISAN has eliminated open defecation in most areas of Tamil Nadu and constructed toilets in all target households.,State Government Release (Tamil Nadu brief)
72,Jal Jeevan Mission,Jal Jeevan Mission has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Madhya Pradesh.,State Government Release (Madhya Pradesh brief)
73,Ayushman Bharat,Ayushman Bharat claims that farmer beneficiaries in Karnataka have received timely financial assistance under the scheme.,State Government Release (Karnataka brief)
74,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) reports that roads connecting habitations in urban slum, Karnataka are complete and motorable throughout the year.",PIB Press Release (Karnataka brief)
75,Smart Cities Mission,"Under Smart Cities Mission, every eligible beneficiary in Kerala has been provided the intended subsidy/transfers.",State Government Release (Kerala brief)
76,Jal Jeevan Mission,Jal Jeevan Mission has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Chhattisgarh.,Press Conference Statement (Chhattisgarh brief)
77,Beti Bachao Beti Padhao,"Beti Bachao Beti Padhao reports that roads connecting habitations in taluka, Maharashtra are complete and motorable throughout the year.",Official Dashboard (Maharashtra brief)
78,Beti Bachao Beti Padhao,"Beti Bachao Beti Padhao reports that roads connecting habitations in district, Gujarat are complete and motorable throughout the year.",Ministry Statement (Gujarat brief)
79,National Health Mission,"All rural households in urban slum, Madhya Pradesh are reported to have received clean cooking fuel connections under National Health Mission.",PIB Press Release (Madhya Pradesh brief)
80,MGNREGA,MGNREGA has eliminated open defecation in most areas of Uttar Pradesh and constructed toilets in all target households.,PIB Press Release (Uttar Pradesh brief)
81,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Madhya Pradesh.,Official Dashboard (Madhya Pradesh brief)
82,Smart Cities Mission,Smart Cities Mission has eliminated open defecation in most areas of Bihar and constructed toilets in all target households.,State Government Release (Bihar brief)
83,Poshan Abhiyaan,Poshan Abhiyaan has successfully provided households in cluster of habitations of Assam with electricity connections and 24x7 supply.,Official Dashboard (Assam brief)
84,Jal Jeevan Mission,Jal Jeevan Mission has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Chhattisgarh.,State Government Release (Chhattisgarh brief)
85,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana) has eliminated open defecation in most areas of Bihar and constructed toilets in all target households.,PIB Press Release (Bihar brief)
86,Swachh Bharat Mission,The government has ensured that all households in village panchayat of Kerala have access to piped water connections under Swachh Bharat Mission.,Ministry Statement (Kerala brief)
87,Ayushman Bharat,The health initiative Ayushman Bharat has set up the required number of primary health centres in Bihar and increased service coverage.,PIB Press Release (Bihar brief)
88,PM-KISAN,The health initiative PM-KISAN has set up the required number of primary health centres in Bihar and increased service coverage.,State Government Release (Bihar brief)
89,Pradhan Mantri Gram Sadak Yojana,"All rural households in cluster of habitations, West Bengal are reported to have received clean cooking fuel connections under Pradhan Mantri Gram Sadak Yojana.",Press Conference Statement (West Bengal brief)
90,Beti Bachao Beti Padhao,Beti Bachao Beti Padhao has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Madhya Pradesh.,Ministry Statement (Madhya Pradesh brief)
91,Atmanirbhar Bharat,"Atmanirbhar Bharat reports that roads connecting habitations in municipality, Bihar are complete and motorable throughout the year.",Official Dashboard (Bihar brief)
92,Smart Cities Mission,The government has ensured that all households in municipality of Tamil Nadu have access to piped water connections under Smart Cities Mission.,State Government Release (Tamil Nadu brief)
93,Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana),"All rural households in taluka, Gujarat are reported to have received clean cooking fuel connections under Saubhagya (Pradhan Mantri Sahaj Bijli Har Ghar Yojana).",Ministry Statement (Gujarat brief)
94,Atmanirbhar Bharat,The government has ensured that all households in village panchayat of Karnataka have access to piped water connections under Atmanirbhar Bharat.,Press Conference Statement (Karnataka brief)
95,Pradhan Mantri Gram Sadak Yojana,Smart city projects under Pradhan Mantri Gram Sadak Yojana have made the municipal services fully digital and integrated in Tamil Nadu.,Official Dashboard (Tamil Nadu brief)
96,PM-KISAN,The government has ensured that all households in taluka of Odisha have access to piped water connections under PM-KISAN.,PIB Press Release (Odisha brief)
97,Pradhan Mantri Gram Sadak Yojana,Pradhan Mantri Gram Sadak Yojana has achieved 100% coverage of targeted children for nutrition interventions in selected districts of Rajasthan.,Ministry Statement (Rajasthan brief)
98,MGNREGA,Smart city projects under MGNREGA have made the municipal services fully digital and integrated in Gujarat.,Ministry Statement (Gujarat brief)
99,Ujjwala Yojana,Ujjwala Yojana has successfully provided households in district of Karnataka with electricity connections and 24x7 supply.,Official Dashboard (Karnataka brief)
100,Pradhan Mantri Gram Sadak Yojana,"Under Pradhan Mantri Gram Sadak Yojana, every eligible beneficiary in West Bengal has been provided the intended subsidy/transfers.",Official Dashboard (West Bengal brief)
